event,sat,lt_center,half_width,ratio_med_SSW前,n_days_SSW前,n_obs_SSW前,Ap_med_SSW前,ratio_med_SSW中,n_days_SSW中,n_obs_SSW中,Ap_med_SSW中,ratio_med_SSW後,n_days_SSW後,n_obs_SSW後,Ap_med_SSW後,delta_ratio,relative_change
2019_SH,A,4.0,1.5,0.42622564850349964,12,7350,6.5,0.43526200547481386,16,14996,7.5,0.4289140718745713,3,2786,3.0,0.009036356971314219,2.120087564660019
2019_SH,A,4.5,1.5,0.43068950051947,15,12739,5.0,0.43526200547481386,16,14996,7.5,0.4289140718745713,3,2767,3.0,0.004572504955343837,1.0616708672555926
2019_SH,A,5.0,1.5,0.4537878382435314,15,14236,5.0,0.4456600662551714,16,14276,7.5,0.5603973280033502,3,597,3.0,-0.00812777198836001,-1.7910951557935169
2019_SH,A,15.5,1.5,0.722875849256928,6,1950,15.5,0.5360300123135909,16,15114,7.5,0.5451474175661736,4,2916,3.0,-0.18684583694333712,-25.847569418096228
2019_SH,A,16.0,1.5,0.6002162275332146,12,7424,6.5,0.5360300123135909,16,15219,7.5,0.5451474175661736,4,2916,3.0,-0.06418621521962364,-10.693848695730528
2019_SH,A,16.5,1.5,0.48035504509976,15,12831,5.0,0.5360300123135909,16,15219,7.5,0.5442583199156097,4,2893,3.0,0.05567496721383092,11.590378363210146
2019_SH,A,17.0,1.5,0.4547384727038109,15,14330,5.0,0.5287052104418206,16,14500,7.5,0.5205631418393084,3,604,3.0,0.07396673773800971,16.265775204418905
2019_SH,B,0.5,1.0,0.6754397168823549,3,322,22.0,0.47885118113388636,16,14060,7.5,0.4571245445095919,3,2810,3.0,-0.19658853574846857,-29.105267403561562
2019_SH,B,1.0,1.0,0.6108144073239076,9,5145,9.0,0.47350985311254623,16,14984,7.5,0.4370688801389117,3,2417,3.0,-0.13730455421136134,-22.47893182692241
2019_SH,B,12.5,1.0,0.6235475901016636,3,330,22.0,0.47021042535838525,16,14366,7.5,0.45962775391295474,3,2900,3.0,-0.15333716474327835,-24.59109251280695
2019_SH,B,13.0,1.0,0.5127113892314586,9,5323,9.0,0.47021042535838525,16,15319,7.5,0.47675827824724726,3,2495,3.0,-0.042500963873073394,-8.289451875992313
2019_SH,B,0.5,1.5,0.6108144073239076,9,5145,9.0,0.47350985311254623,16,14984,7.5,0.4571245445095919,3,2810,3.0,-0.13730455421136134,-22.47893182692241
2019_SH,B,1.0,1.5,0.45231006041068655,15,10098,5.0,0.47350985311254623,16,14984,7.5,0.4571245445095919,3,2810,3.0,0.021199792701859677,4.687004459421217
2019_SH,B,1.5,1.5,0.4252298082740208,15,12606,5.0,0.47350985311254623,16,14984,7.5,0.4370688801389117,3,2417,3.0,0.04828004483852544,11.353871224242463
2019_SH,B,12.0,1.5,0.6235475901016636,3,330,22.0,0.47021042535838525,16,14366,7.5,0.45962775391295474,3,2900,3.0,-0.15333716474327835,-24.59109251280695
2019_SH,B,12.5,1.5,0.5127113892314586,9,5323,9.0,0.47021042535838525,16,15319,7.5,0.45962775391295474,3,2900,3.0,-0.042500963873073394,-8.289451875992313
2019_SH,B,13.0,1.5,0.4314160431815111,15,11198,5.0,0.47021042535838525,16,15319,7.5,0.45962775391295474,3,2900,3.0,0.03879438217687414,8.992336467318637
2019_SH,B,13.5,1.5,0.4314160431815111,15,14310,5.0,0.47021042535838525,16,15319,7.5,0.47675827824724726,3,2495,3.0,0.03879438217687414,8.992336467318637
2019_SH,C,4.0,1.0,0.6200768044183113,5,1108,22.0,0.42689212445097796,16,14624,7.5,0.41039474912627844,3,2813,3.0,-0.1931846799673333,-31.154959932513233
2019_SH,C,4.5,1.0,0.446933170580028,11,6282,8.0,0.43081042934978764,16,14682,7.5,0.5170614651089738,3,1139,3.0,-0.01612274123024038,-3.6074165650574455
2019_SH,C,16.0,1.0,0.8199474285168817,5,1114,22.0,0.5316717480042935,16,14863,7.5,0.5463549700305289,4,2914,3.0,-0.28827568051258823,-35.157824817381325
2019_SH,C,16.5,1.0,0.6574006840422892,10,6362,8.5,0.5267150639999805,16,14938,7.5,0.5511146658030961,4,1181,3.0,-0.13068562004230877,-19.8791426925108
2019_SH,C,3.5,1.5,0.6200768044183113,5,1108,22.0,0.42689212445097796,16,14624,7.5,0.41039474912627844,3,2813,3.0,-0.1931846799673333,-31.154959932513233
2019_SH,C,4.0,1.5,0.446933170580028,11,6282,8.0,0.42689212445097796,16,14967,7.5,0.41039474912627844,3,2813,3.0,-0.020041046129050055,-4.484125915971031
2019_SH,C,4.5,1.5,0.42409627841260444,15,11807,5.0,0.42689212445097796,16,14967,7.5,0.41039474912627844,3,2813,3.0,0.0027958460383735173,0.6592479539878044
2019_SH,C,5.0,1.5,0.44164686146812626,15,14218,5.0,0.43081042934978764,16,14682,7.5,0.5170614651089738,3,1139,3.0,-0.010836432118338624,-2.4536418264846405
2019_SH,C,15.5,1.5,0.8199474285168817,5,1114,22.0,0.5316717480042935,16,14863,7.5,0.5463549700305289,4,2914,3.0,-0.28827568051258823,-35.157824817381325
2019_SH,C,16.0,1.5,0.6574006840422892,10,6362,8.5,0.5316717480042935,16,15224,7.5,0.5463549700305289,4,2914,3.0,-0.12572893603799573,-19.125160513205042
2019_SH,C,16.5,1.5,0.5320659407824728,15,11915,5.0,0.5316717480042935,16,15224,7.5,0.5463549700305289,4,2914,3.0,-0.0003941927781793142,-0.07408720385289123
2019_SH,C,17.0,1.5,0.45025941090409344,15,14328,5.0,0.5267150639999805,16,14938,7.5,0.5511146658030961,4,1181,3.0,0.07645565309588703,16.980356488800254
2021_NH,C,8.0,1.0,0.7786148929154423,5,1349,2.0,0.6365942500743041,13,12295,3.0,0.7194767157728073,10,6280,4.0,-0.14202064284113813,-18.240165213043465
2021_NH,C,8.5,1.0,0.7759590533719403,10,6082,4.0,0.6365942500743041,13,12288,3.0,0.6454444187505076,5,1393,3.0,-0.13936480329763612,-17.960329567910126
2021_NH,C,20.0,1.0,0.6036840791881027,5,1330,2.0,0.570197566526634,13,12321,3.0,0.7199986814191464,10,6272,4.0,-0.03348651266146874,-5.547025972012528
2021_NH,C,20.5,1.0,0.6615282155926625,10,6054,4.0,0.5775724113055447,13,12325,3.0,0.8834815482284302,5,1380,3.0,-0.0839558042871178,-12.691190233193888
2021_NH,C,7.5,1.5,0.7786148929154423,5,1349,2.0,0.6365942500743041,13,12295,3.0,0.7593803271599847,19,16416,4.0,-0.14202064284113813,-18.240165213043465
2021_NH,C,8.0,1.5,0.7759590533719403,10,6082,4.0,0.6365942500743041,13,12457,3.0,0.7484782816611417,16,11355,3.0,-0.13936480329763612,-17.960329567910126
2021_NH,C,8.5,1.5,0.7356985039830855,10,9491,4.0,0.6365942500743041,13,12457,3.0,0.7194767157728073,10,6280,4.0,-0.0991042539087813,-13.470770073913297
2021_NH,C,9.0,1.5,0.7356985039830855,10,9619,4.0,0.6365942500743041,13,12288,3.0,0.6454444187505076,5,1393,3.0,-0.0991042539087813,-13.470770073913297
2021_NH,C,19.5,1.5,0.6036840791881027,5,1330,2.0,0.570197566526634,13,12321,3.0,0.7155802360525251,19,16472,4.0,-0.03348651266146874,-5.547025972012528
2021_NH,C,20.0,1.5,0.6615282155926625,10,6054,4.0,0.5775724113055447,13,12485,3.0,0.7660428509868547,16,11387,3.0,-0.0839558042871178,-12.691190233193888
2021_NH,C,20.5,1.5,0.6730704607591707,10,9442,4.0,0.5775724113055447,13,12485,3.0,0.7199986814191464,10,6272,4.0,-0.09549804945362594,-14.18841785834898
2021_NH,C,21.0,1.5,0.6817694173943121,10,9566,4.0,0.5775724113055447,13,12325,3.0,0.8834815482284302,5,1380,3.0,-0.10419700608876736,-15.283320640430457
